"component","origin","license","copyright"
"cloud.google.com/go/compute/metadata","https://cloud.google.com/go/compute/metadata","['Apache-2.0']","[]"
"com.github.DataDog/ddtrivy","git+https://github.com/DataDog/ddtrivy","['Apache-2.0']","['DataDog']"
"github.com/Azure/azure-sdk-for-go","https://github.com/Azure/azure-sdk-for-go","['MIT']","['Microsoft Corporation']"
"github.com/Azure/azure-sdk-for-go/sdk/azcore","https://github.com/Azure/azure-sdk-for-go/tree/main/sdk/azcore","['MIT']","['Microsoft Corporation']"
"github.com/Azure/azure-sdk-for-go/sdk/azidentity","https://github.com/Azure/azure-sdk-for-go/tree/main/sdk/azidentity","['MIT']","['Microsoft Corporation']"
"github.com/Azure/azure-sdk-for-go/sdk/internal","https://github.com/Azure/azure-sdk-for-go/tree/main/sdk/internal","['MIT']","['Microsoft Corporation']"
"github.com/Azure/go-autorest","https://github.com/Azure/go-autorest","['Apache-2.0']","['Microsoft Corporation']"
"github.com/Azure/go-autorest/autorest","https://github.com/Azure/go-autorest/tree/main/autorest","['Apache-2.0']","['Microsoft Corporation']"
"github.com/Azure/go-autorest/autorest/adal","https://github.com/Azure/go-autorest/tree/main/autorest/adal","['Apache-2.0']","['Microsoft Corporation']"
"github.com/Azure/go-autorest/autorest/date","https://github.com/Azure/go-autorest/tree/main/autorest/date","['Apache-2.0']","['Microsoft Corporation']"
"github.com/Azure/go-autorest/logger","https://github.com/Azure/go-autorest/tree/main/logger","['Apache-2.0']","['Microsoft Corporation']"
"github.com/Azure/go-autorest/tracing","https://github.com/Azure/go-autorest/tree/main/tracing","['Apache-2.0']","['Microsoft Corporation']"
"github.com/AzureAD/microsoft-authentication-library-for-go","https://github.com/AzureAD/microsoft-authentication-library-for-go","['MIT']","['Microsoft Corporation']"
"github.com/BurntSushi/toml","https://github.com/BurntSushi/toml","['MIT']","['TOML authors']"
"github.com/CycloneDX/cyclonedx-go","https://github.com/CycloneDX/cyclonedx-go","['Apache-2.0']","['OWASP Foundation']"
"github.com/DataDog/ddtrivy","https://github.com/DataDog/ddtrivy","['Apache-2.0']","['DataDog']"
"github.com/DataDog/trivy","https://github.com/DataDog/trivy","['Apache-2.0']","['Alexey Raspopov, Kostiantyn Denysov, Anton Verinov', 'Andrey Sitnik', 'Aqua Security Software Ltd.', 'Corporation for National Research Initiatives', 'Mozilla Foundation and contributors', 'Python Software Foundation', 'Stichting Mathematisch Centrum Amsterdam, The Netherlands', 'TOML authors', 'Teppei Fukuda', 'Yuxi', 'test', 'various contributors']"
"github.com/DataDog/zstd","https://github.com/DataDog/zstd","['BSD-2-Clause', 'BSD-3-Clause']","['Datadog']"
"github.com/GoogleCloudPlatform/docker-credential-gcr","https://github.com/GoogleCloudPlatform/docker-credential-gcr","['Apache-2.0']","['GoogleCloudPlatform']"
"github.com/ProtonMail/go-crypto","https://github.com/ProtonMail/go-crypto","['BSD-3-Clause']","['The Go Authors']"
"github.com/aquasecurity/go-gem-version","https://github.com/aquasecurity/go-gem-version","['Apache-2.0']","['aquasecurity']"
"github.com/aquasecurity/go-npm-version","https://github.com/aquasecurity/go-npm-version","['Apache-2.0']","['aquasecurity']"
"github.com/aquasecurity/go-pep440-version","https://github.com/aquasecurity/go-pep440-version","['Apache-2.0']","['aquasecurity']"
"github.com/aquasecurity/go-version","https://github.com/aquasecurity/go-version","['Apache-2.0']","['aquasecurity']"
"github.com/aquasecurity/jfather","https://github.com/aquasecurity/jfather","['MIT']","['Liam Galvin']"
"github.com/aquasecurity/trivy","https://github.com/aquasecurity/trivy","['Apache-2.0']","['Alexey Raspopov, Kostiantyn Denysov, Anton Verinov', 'Andrey Sitnik', 'Aqua Security Software Ltd.', 'Corporation for National Research Initiatives', 'Mozilla Foundation and contributors', 'Python Software Foundation', 'Stichting Mathematisch Centrum Amsterdam, The Netherlands', 'TOML authors', 'Yuxi', 'test', 'various contributors']"
"github.com/aquasecurity/trivy-db","https://github.com/aquasecurity/trivy-db","['Apache-2.0']","['Aqua Security Software Ltd.']"
"github.com/aquasecurity/trivy-java-db","https://github.com/aquasecurity/trivy-java-db","['Apache-2.0']","['aquasecurity']"
"github.com/aws/aws-sdk-go-v2","https://github.com/aws/aws-sdk-go-v2","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.', 'The Go Authors']"
"github.com/aws/aws-sdk-go-v2/config","https://github.com/aws/aws-sdk-go-v2/tree/main/config","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/credentials","https://github.com/aws/aws-sdk-go-v2/tree/main/credentials","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/feature/ec2/imds","https://github.com/aws/aws-sdk-go-v2/tree/main/feature/ec2/imds","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/internal/configsources","https://github.com/aws/aws-sdk-go-v2/tree/main/internal/configsources","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/internal/endpoints/v2","https://github.com/aws/aws-sdk-go-v2/tree/main/internal/endpoints/v2","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/internal/ini","https://github.com/aws/aws-sdk-go-v2/tree/main/internal/ini","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/service/ecr","https://github.com/aws/aws-sdk-go-v2/tree/main/service/ecr","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding","https://github.com/aws/aws-sdk-go-v2/tree/main/service/internal/accept-encoding","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/service/internal/presigned-url","https://github.com/aws/aws-sdk-go-v2/tree/main/service/internal/presigned-url","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/service/sso","https://github.com/aws/aws-sdk-go-v2/tree/main/service/sso","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/service/ssooidc","https://github.com/aws/aws-sdk-go-v2/tree/main/service/ssooidc","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/aws-sdk-go-v2/service/sts","https://github.com/aws/aws-sdk-go-v2/tree/main/service/sts","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.']"
"github.com/aws/smithy-go","https://github.com/aws/smithy-go","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'The Go Authors']"
"github.com/bitnami/go-version","https://github.com/bitnami/go-version","['Apache-2.0']","['bitnami']"
"github.com/bmatcuk/doublestar/v4","https://github.com/bmatcuk/doublestar/tree/master/v4","['MIT']","['Bob Matcuk']"
"github.com/briandowns/spinner","https://github.com/briandowns/spinner","['Apache-2.0']","['Brian J. Downs']"
"github.com/cenkalti/backoff/v4","https://github.com/cenkalti/backoff/tree/v5/v4","['MIT']","['Cenk Alti']"
"github.com/cespare/xxhash/v2","https://github.com/cespare/xxhash/tree/main/v2","['MIT']","['Caleb Spare']"
"github.com/cloudflare/circl","https://github.com/cloudflare/circl","['BSD-3-Clause']","['Brendan McMillion', 'Cloudflare', 'The Go Authors']"
"github.com/containerd/continuity","https://github.com/containerd/continuity","['Apache-2.0']","['Docker, Inc.', 'Microsoft', 'OCI Contributors', 'Simon Eskildsen', 'The Go Authors']"
"github.com/containerd/stargz-snapshotter/estargz","https://github.com/containerd/stargz-snapshotter/tree/main/estargz","['Apache-2.0']","['Google LLC.', 'The Go Authors', 'Tintri']"
"github.com/davecgh/go-spew","https://github.com/davecgh/go-spew","['ISC']","['Dave Collins']"
"github.com/dgryski/go-rendezvous","https://github.com/dgryski/go-rendezvous","['MIT']","['Damian Gryski']"
"github.com/docker/cli","https://github.com/docker/cli","['Apache-2.0']","['Docker, Inc.']"
"github.com/docker/distribution","https://github.com/docker/distribution","['Apache-2.0']","['Alan Shreve', 'Alex Ogier', 'Amazon.com, Inc. or its affiliates', 'Blake Mizerany', 'Blake Mizerany, Bjorn Rabenstein', 'Boaz Shuster', 'Caleb Spare', 'Canonical Ltd', 'Canonical Ltd.', 'Cenk Alti', 'CoreOS, Inc', 'Damian Gryski', 'Dave Cheney', 'Dave Collins', 'Dave Grijalva', 'David Calavera', 'Docker Inc & Go Authors', 'Docker, Inc.', 'Felix Geisendorfer', 'Gengo, Inc.', 'Google Inc.', 'HashiCorp, Inc.', 'James Saryerwinnie', 'Joshua Tacoma', 'Kirill Simonov', 'Klaus Post', 'Mat Ryer, Tyler Bunnell and contributors', 'Microsoft Corporation', 'Mitchell Hashimoto', 'OCI Contributors', 'Open Knowledge Foundation Ltd.', 'Patrick Mezard', 'PlanetScale Inc.', 'Robert Kaussow', 'SUSE LLC.', 'Simon Eskildsen', 'Stripe, Inc.', 'The Go Authors', 'The GoGo Authors', 'The Gorilla Authors', 'The Linux Foundation', 'The New York Times Company', 'The Prometheus Authors', 'The Snappy-Go Authors', 'The filepathx', 'gRPC', 'golang-jwt']"
"github.com/docker/docker","https://github.com/docker/docker","['Apache-2.0']","['Docker, Inc.', 'John Howard']"
"github.com/docker/docker-credential-helpers","https://github.com/docker/docker-credential-helpers","['MIT']","['David Calavera']"
"github.com/docker/go-units","https://github.com/docker/go-units","['Apache-2.0']","['Docker, Inc.']"
"github.com/fatih/color","https://github.com/fatih/color","['MIT']","['Fatih Arslan']"
"github.com/go-redis/redis/v8","https://github.com/go-redis/redis/tree/master/v8","['BSD-2-Clause']","['Copyright (c) 2013 The']"
"github.com/golang-jwt/jwt/v4","https://github.com/golang-jwt/jwt/tree/main/v4","['MIT']","['Dave Grijalva', 'golang-jwt']"
"github.com/golang-jwt/jwt/v5","https://github.com/golang-jwt/jwt/tree/main/v5","['MIT']","['Dave Grijalva', 'golang-jwt']"
"github.com/golang/mock","https://github.com/golang/mock","['Apache-2.0']","['golang']"
"github.com/google/go-containerregistry","https://github.com/google/go-containerregistry","['Apache-2.0']","['Alan Shreve', 'Alex Ogier', 'Brian Goff', 'Caleb Spare', 'Canonical Ltd', 'Canonical Ltd.', 'Dave Cheney', 'David Calavera', 'Docker, Inc.', 'Felix Geisendorfer', 'Kirill Simonov', 'Klaus Post', 'Microsoft', 'Mitchell Hashimoto', 'OCI Contributors', 'Russ Ross', 'Simon Eskildsen', 'The Go Authors', 'The GoGo Authors', 'The Linux Foundation', 'The New York Times Company', 'The Snappy-Go Authors', 'The filepathx', 'Vincent Batts, Raleigh, NC']"
"github.com/google/uuid","https://github.com/google/uuid","['BSD-3-Clause']","['Google Inc.']"
"github.com/google/wire","https://github.com/google/wire","['Apache-2.0']","['google']"
"github.com/hashicorp/errwrap","https://github.com/hashicorp/errwrap","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/go-multierror","https://github.com/hashicorp/go-multierror","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/golang-lru/v2","https://github.com/hashicorp/golang-lru/tree/main/v2","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/klauspost/compress","https://github.com/klauspost/compress","['Apache-2.0', 'BSD-3-Clause', 'MIT']","['Caleb Spare', 'Evan Huus', 'Klaus Post', 'Pierre Curto', 'The Go Authors', 'The New York Times Company', 'The Snappy-Go Authors', 'The filepathx']"
"github.com/knqyf263/go-apk-version","https://github.com/knqyf263/go-apk-version","['Apache-2.0']","['knqyf263']"
"github.com/knqyf263/go-deb-version","https://github.com/knqyf263/go-deb-version","['MIT']","['Teppei Fukuda']"
"github.com/knqyf263/go-rpm-version","https://github.com/knqyf263/go-rpm-version","['MIT']","['Teppei Fukuda']"
"github.com/knqyf263/go-rpmdb","https://github.com/knqyf263/go-rpmdb","['MIT']","['Teppei Fukuda']"
"github.com/knqyf263/nested","https://github.com/knqyf263/nested","['MIT']","['Teppei Fukuda']"
"github.com/kylelemons/godebug","https://github.com/kylelemons/godebug","['Apache-2.0']","['kylelemons']"
"github.com/lunixbochs/struc","https://github.com/lunixbochs/struc","['MIT']","['Ryan Hileman']"
"github.com/masahiro331/go-disk","https://github.com/masahiro331/go-disk","['MIT']","['Masahiro331']"
"github.com/masahiro331/go-ext4-filesystem","https://github.com/masahiro331/go-ext4-filesystem","['Apache-2.0']","['masahiro331']"
"github.com/masahiro331/go-mvn-version","https://github.com/masahiro331/go-mvn-version","['Apache-2.0']","['masahiro331']"
"github.com/masahiro331/go-xfs-filesystem","https://github.com/masahiro331/go-xfs-filesystem","['Apache-2.0']","['masahiro331']"
"github.com/mattn/go-colorable","https://github.com/mattn/go-colorable","['MIT']","['Yasuhiro Matsumoto']"
"github.com/mattn/go-isatty","https://github.com/mattn/go-isatty","['MIT']","['Yasuhiro MATSUMOTO']"
"github.com/mattn/go-runewidth","https://github.com/mattn/go-runewidth","['MIT']","['Yasuhiro Matsumoto']"
"github.com/mattn/go-shellwords","https://github.com/mattn/go-shellwords","['MIT']","['Yasuhiro Matsumoto']"
"github.com/mitchellh/go-homedir","https://github.com/mitchellh/go-homedir","['MIT']","['Mitchell Hashimoto']"
"github.com/mitchellh/hashstructure/v2","https://github.com/mitchellh/hashstructure/tree/master/v2","['MIT']","['Mitchell Hashimoto']"
"github.com/oklog/ulid/v2","https://github.com/oklog/ulid/tree/main/v2","['Apache-2.0']","['oklog']"
"github.com/opencontainers/go-digest","https://github.com/opencontainers/go-digest","['Apache-2.0']","['Docker, Inc.', 'OCI Contributors']"
"github.com/opencontainers/image-spec","https://github.com/opencontainers/image-spec","['Apache-2.0']","['The Linux Foundation']"
"github.com/package-url/packageurl-go","https://github.com/package-url/packageurl-go","['MIT']","['package-url']"
"github.com/pkg/browser","https://github.com/pkg/browser","['BSD-2-Clause']","['Dave Cheney']"
"github.com/pkg/errors","https://github.com/pkg/errors","['BSD-2-Clause']","['Dave Cheney']"
"github.com/pmezard/go-difflib","https://github.com/pmezard/go-difflib","['BSD-3-Clause']","['Patrick Mezard']"
"github.com/rivo/uniseg","https://github.com/rivo/uniseg","['MIT']","['Oliver Kuederle']"
"github.com/rust-secure-code/go-rustaudit","https://github.com/rust-secure-code/go-rustaudit","['MIT']","['Microsoft Corporation']"
"github.com/samber/lo","https://github.com/samber/lo","['MIT']","['Samuel Berthe']"
"github.com/samber/oops","https://github.com/samber/oops","['MIT']","['Samuel Berthe']"
"github.com/sassoftware/go-rpmutils","https://github.com/sassoftware/go-rpmutils","['Apache-2.0']","['sassoftware']"
"github.com/sirupsen/logrus","https://github.com/sirupsen/logrus","['MIT']","['Simon Eskildsen']"
"github.com/spf13/pflag","https://github.com/spf13/pflag","['BSD-3-Clause']","['Alex Ogier', 'The Go Authors']"
"github.com/stretchr/objx","https://github.com/stretchr/objx","['MIT']","['Stretchr, Inc.', 'objx contributors']"
"github.com/stretchr/testify","https://github.com/stretchr/testify","['MIT']","['Mat Ryer, Tyler Bunnell and contributors']"
"github.com/twitchtv/twirp","https://github.com/twitchtv/twirp","['Apache-2.0']","['Kamil Kisiel', 'Twitch Interactive, Inc.']"
"github.com/ulikunitz/xz","https://github.com/ulikunitz/xz","['BSD-3-Clause']","['Ulrich Kunitz']"
"github.com/vbatts/tar-split","https://github.com/vbatts/tar-split","['BSD-3-Clause']","['Vincent Batts, Raleigh, NC']"
"github.com/xi2/xz","https://github.com/xi2/xz","['LicenseRef-scancode-public-domain-disclaimer']","['Michael Cross, Lasse Collin and/or Igor PavLov']"
"go.etcd.io/bbolt","https://go.etcd.io/bbolt","['MIT']","['Ben Johnson']"
"go.opentelemetry.io/otel","https://go.opentelemetry.io/otel","['Apache-2.0']","[]"
"go.opentelemetry.io/otel/trace","https://go.opentelemetry.io/otel/trace","['Apache-2.0']","[]"
"go.uber.org/multierr","https://go.uber.org/multierr","['MIT']","['Uber Technologies, Inc.']"
"go.uber.org/zap","https://go.uber.org/zap","['MIT']","['Uber Technologies, Inc.']"
"golang.org/x/crypto","https://golang.org/x/crypto","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/exp","https://golang.org/x/exp","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/mod","https://golang.org/x/mod","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/net","https://golang.org/x/net","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/oauth2","https://golang.org/x/oauth2","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/sync","https://golang.org/x/sync","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/sys","https://golang.org/x/sys","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/term","https://golang.org/x/term","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/text","https://golang.org/x/text","['BSD-3-Clause']","['The Go Authors']"
"golang.org/x/xerrors","https://golang.org/x/xerrors","['BSD-3-Clause']","['The Go Authors']"
"google.golang.org/protobuf","https://google.golang.org/protobuf","['BSD-3-Clause']","['The Go Authors']"
"gopkg.in/cheggaaa/pb.v1","https://gopkg.in/cheggaaa/pb.v1","['BSD-3-Clause']","['Sergey Cherepanov']"
"gopkg.in/yaml.v3","https://gopkg.in/yaml.v3","['(MIT', 'Apache-2.0)', 'MIT']","['Canonical Ltd', 'Canonical Ltd.', 'Kirill Simonov']"
"k8s.io/utils","https://k8s.io/utils","['Apache-2.0']","['The Go Authors']"

